"chamber","chamberDiam","soilDepth","SubFloorHeight","SubFloorAirVol","soilVol","RootDM0to2","RootDM2to10","RootDM10up","RootDMBole","RootDMtotal_no2mm","RootDMtotal"
"C01",309.666666666667,63.625,45.4166666666667,3.88448114139335,4.79188729882471,558.24,1085.24,561.24,384.24,2030.72,2588.96
"C02",311.166666666667,70.25,44.9166666666667,3.84171621139636,5.34222708747005,482.24,620.24,596.24,366.24,1582.72,2064.96
"C03",322.666666666667,105.75,46.0833333333333,3.94150104805601,8.64725891174714,424.24,618.24,566.24,370.24,1554.72,1978.96
"C04",310.8,62.75,45.5833333333333,3.89873611805902,4.76064318380937,373.24,662.24,841.24,599.24,2102.72,2475.96
"C05",307.166666666667,65.125,44.6666666666667,3.82033374639787,4.82598299571289,334.24,640.24,531.24,375.24,1546.72,1880.96
"C06",314,99.25,45.75,3.91299109472468,7.68563389384473,830.04,1283.04,1146.24,808.24,3237.52,4067.56
"C07",324.333333333333,65.875,45.4166666666667,3.88448114139335,5.4424403860986,588.04,702.04,592.24,419.24,1713.52,2301.56
"C08",316.166666666667,65.625,45.0833333333333,3.85597118806203,5.15218393117154,758.04,1347.04,955.24,659.24,2961.52,3719.56
"C09",309,91.75,45.0833333333333,3.85597118806203,6.88038773711052,627.04,860.04,777.24,452.24,2089.52,2716.56
"C10",310.833333333333,64,45.0833333333333,3.85597118806203,4.85651827001438,723.04,1043.04,632.24,356.24,2031.52,2754.56
"C11",313.5,72.875,45.5833333333333,3.89873611805902,5.62527216372296,643.04,911.04,370.24,172.24,1453.52,2096.56
"C12",323,82.5,46,3.93437355972318,6.76003391160012,849.04,1229.04,1535.24,606.24,3370.52,4219.56
