"chamber","treeheight","layerthickness","floorheight","toplayer1fromfloor","toplayer2fromfloor"
"C01",846,282,42,240,522
"C02",871,290.3333333,47,243.3333333,533.6666667
"C03",865,288.3333333,44,244.3333333,532.6666667
"C04",810,270,41,229,499
"C05",871,290.3333333,42,248.3333333,538.6666667
"C06",822,274,46,228,502
"C07",918,306,46,260,566
"C08",900,300,46,254,554
"C09",802,267.3333333,45,222.3333333,489.6666667
"C10",784,261.3333333,46,215.3333333,476.6666667
"C11",934,311.3333333,45,266.3333333,577.6666667
"C12",943,314.3333333,46,268.3333333,582.6666667
