Year,Month,campaign,chamber,leaf,temp,pre_wp,mid_wp,Kl,delta13c,n_perc,lma,leafN_area
2013,Oct,1,ch01,shade,ambient,-0.29,-1.15,3.145531533,-29.78,2.01,104.3780806,2.09799942
2013,Oct,1,ch01,sun,ambient,-0.28,-1.04,1.562930759,-26.74,2.47,97.04728474,2.397067933
2013,Oct,1,ch02,shade,elevated,-0.28,-1.06,2.332187544,-32.06,1.76,104.4852192,1.838939857
2013,Oct,1,ch02,sun,elevated,-0.36,-1.93,1.148638581,-28.31,2.77,79.91182144,2.213557454
2013,Oct,1,ch03,shade,ambient,-0.4,-1.08,2.791562134,-29.16,2.11,112.9498293,2.383241397
2013,Oct,1,ch03,sun,ambient,-0.42,-1.12,1.891052189,-26.52,2.39,113.4558657,2.711595189
2013,Oct,1,ch04,shade,elevated,-0.38,-2.21,0.990229516,-28.36,1.54,127.2189349,1.959171598
2013,Oct,1,ch04,sun,elevated,-0.528,-1.92,1.065533778,-26.8,3.16,109.3189964,3.454480287
2013,Oct,1,ch05,shade,ambient,-0.36,-2.01,0.945281281,-29.84,2.05,111.1111111,2.277777778
2013,Oct,1,ch05,sun,ambient,-0.38,-1.51,1.125751173,-27.18,2.49,110.1716628,2.743274404
2013,Oct,1,ch06,shade,elevated,-0.378,-3.67,1.071035713,-29.34,2,108.1446435,2.162892869
2013,Oct,1,ch06,sun,elevated,-0.379,-1.28,1.894733441,-26.45,2.96,91.01701622,2.69410368
2013,Oct,1,ch07,shade,ambient,-0.221,-3.24,0.958897562,-31.12,1.6,106.3650177,1.701840284
2013,Oct,1,ch07,sun,ambient,-0.342,-1.38,1.936026747,-27,1.99,112.5,2.23875
2013,Oct,1,ch08,shade,elevated,-0.28,-1.389,1.303582015,-30.18,1.68,108.0325369,1.814946619
2013,Oct,1,ch08,sun,elevated,-0.24,-1.19,1.295443916,-26.92,3.31,88.86914019,2.94156854
2013,Oct,1,ch09,shade,ambient,-0.343,-1.88,1.91545726,-28.87,2.41,97.53124048,2.350502895
2013,Oct,1,ch09,sun,ambient,-0.215,-1.88,1.355936863,-27.28,2.92,108.6694035,3.173146583
2013,Oct,1,ch10,shade,elevated,-0.23,-1.15,2.889516378,-29.39,1.97,90.85746735,1.789892107
2013,Oct,1,ch10,sun,elevated,-0.24,-0.8,3.323625854,-27.43,2.07,120.1696513,2.487511781
2013,Oct,1,ch11,shade,ambient,-0.35,-2.16,2.116810433,-29.73,1.54,157.1906355,2.420735786
2013,Oct,1,ch11,sun,ambient,-0.445,-1,2.268224232,-27.63,2.38,94.54232918,2.250107434
2013,Oct,1,ch12,shade,elevated,-0.22,-2.3,1.286697135,-30.6,1.65,132.7433628,2.190265487
2013,Oct,1,ch12,sun,elevated,-0.312,-2.137,1.444459972,-27.39,2.28,111.333143,2.538395661
2013,Dec,2,ch01,shade,ambient,-0.14,-1.11,2.287429049,-29.49,2.12,101.9134775,2.160565724
2013,Dec,2,ch01,sun,ambient,-0.14,-1.14,1.983700018,-28.72,2.17,106.165782,2.303797468
2013,Dec,2,ch02,shade,elevated,-0.22,-1.52,3.374185306,-32.18,1.61,101.4198783,1.632860041
2013,Dec,2,ch02,sun,elevated,-0.21,-1.9,2.436627341,-29.55,2.76,76.63588131,2.115150324
2013,Dec,2,ch03,shade,ambient,-0.18,-1.86,2.440428548,-30.51,2.14,95.12195122,2.035609756
2013,Dec,2,ch03,sun,ambient,-0.19,-1.22,3.022328627,-29.19,2.03,107.8614395,2.189587223
2013,Dec,2,ch04,shade,elevated,-0.34,-1.91,4.082879459,-28.83,1.38,138.0918221,1.905667145
2013,Dec,2,ch04,sun,elevated,-0.28,-1.31,3.09397155,-28.66,2.46,113.3391456,2.788142982
2013,Dec,2,ch05,shade,ambient,-0.17,-1.34,3.518700178,-31.13,1.87,106.7046061,1.995376134
2013,Dec,2,ch05,sun,ambient,-0.21,-3.5,1.032234284,-28.1,2.23,130.3894298,2.907684284
2013,Dec,2,ch06,shade,elevated,-0.45,-2.17,2.122058178,-30.06,1.84,100.9274414,1.857064921
2013,Dec,2,ch06,sun,elevated,-0.33,-1.74,2.156486352,-28.73,2.42,99.53161593,2.408665105
2013,Dec,2,ch07,shade,ambient,-0.19,-1.63,4.389542608,-32.21,1.7,107.3279053,1.824574389
2013,Dec,2,ch07,sun,ambient,-0.34,-1.23,5.016462662,-29.39,2.05,103.7998146,2.1278962
2013,Dec,2,ch08,shade,elevated,-0.14,-1.89,3.600100941,-30.11,1.34,163.3045149,2.1882805
2013,Dec,2,ch08,sun,elevated,-0.24,-1.09,3.886381048,-29,2.26,135.3081002,3.057963065
2013,Dec,2,ch09,shade,ambient,-0.21,-1.37,4.426037652,-31.24,1.9,95.79728059,1.820148331
2013,Dec,2,ch09,sun,ambient,-0.24,-1.38,2.600624114,-27.33,2.97,129.2350681,3.838281523
2013,Dec,2,ch10,shade,elevated,-0.21,-1.41,3.562202009,-30.85,1.87,94.9066751,1.774754824
2013,Dec,2,ch10,sun,elevated,-0.21,-1.24,2.519292571,-27.97,1.94,102.9567054,1.997360084
2013,Dec,2,ch11,shade,ambient,-0.18,-1.52,4.140721981,-31.71,1.51,109.5311299,1.653920061
2013,Dec,2,ch11,sun,ambient,-0.2,-0.68,3.160039895,-26.52,1.61,157.5138357,2.535972754
2013,Dec,2,ch12,shade,elevated,-0.22,-1.79,2.990062651,-30.21,1.35,173.9499364,2.348324141
2013,Dec,2,ch12,sun,elevated,-0.21,-2.27,1.110973608,-29.66,1.66,148.1317709,2.458987398
2014,Jan,3,ch01,shade,ambient,-0.22,-1.78,2.605036453,-30.82,1.87,99.04371585,1.852117486
2014,Jan,3,ch01,sun,ambient,-0.23,-1.78,1.690328178,-29.47,3.75,72.99270073,2.737226277
2014,Jan,3,ch02,shade,elevated,-0.34,-2.24,4.047475791,-30.71,1.75,111.4965312,1.951189296
2014,Jan,3,ch02,sun,elevated,-0.36,-2.58,0.747208928,-28.9,2.68,101.7524025,2.726964387
2014,Jan,3,ch03,shade,ambient,-0.29,-1.13,5.141310016,-28.55,1.81,115.7275659,2.094668943
2014,Jan,3,ch03,sun,ambient,-0.3,-1.61,1.876537447,-27.47,3.21,86.83068017,2.787264834
2014,Jan,3,ch04,shade,elevated,-0.39,-1.37,3.033928252,-30,1.65,102.5927999,1.692781198
2014,Jan,3,ch04,sun,elevated,-0.37,-1.69,1.533499813,-28,2.63,104.7227926,2.754209446
2014,Jan,3,ch05,shade,ambient,-0.21,-1.09,2.519507707,-30.11,1.82,125.5323918,2.284689531
2014,Jan,3,ch05,sun,ambient,-0.26,-1.68,0.681447401,-28.04,2.78,112.2867631,3.121572015
2014,Jan,3,ch06,shade,elevated,-0.25,-1.47,4.832858224,-28.95,1.84,109.4785364,2.014405071
2014,Jan,3,ch06,sun,elevated,-0.26,-1.99,0.922188523,-28.23,3.1,84.32539683,2.614087302
2014,Jan,3,ch07,shade,ambient,-0.31,-1.7,2.539956372,-28.76,1.64,151.7911354,2.489374621
2014,Jan,3,ch07,sun,ambient,-0.35,-1.48,0.787915909,-28.4,2.6,107.3929961,2.792217899
2014,Jan,3,ch08,shade,elevated,-0.38,-1.28,3.840369799,-29.42,1.66,125.6859621,2.086386971
2014,Jan,3,ch08,sun,elevated,-0.35,-1.38,0.679448083,-27.49,2.5,122.6158038,3.065395095
2014,Jan,3,ch09,shade,ambient,-0.35,-1.28,5.548005535,-29.25,2.07,172.2190853,3.564935065
2014,Jan,3,ch09,sun,ambient,-0.45,-2.18,1.076141783,-27.98,2.84,77.25321888,2.193991416
2014,Jan,3,ch10,shade,elevated,-0.26,-1.43,3.053616265,-28.81,1.89,128.3226398,2.425297892
2014,Jan,3,ch10,sun,elevated,-0.25,-1.38,1.844278525,-27.17,3.3,106.7125645,3.52151463
2014,Jan,3,ch11,shade,ambient,-0.15,-0.98,4.370607944,-29.18,1.6,128.1171357,2.049874171
2014,Jan,3,ch11,sun,ambient,-0.2,-1.48,1.290754918,-29.2,2.02,118.3879093,2.391435768
2014,Jan,3,ch12,shade,elevated,-0.27,-1.92,2.783611917,-30.32,1.52,132.524708,2.014375562
2014,Jan,3,ch12,sun,elevated,-0.28,-1.65,0.801660459,-29.39,1.94,80.31256783,1.558063816
2014,Feb,4,ch01,shade,ambient,-0.38,-1.15,2.92238662,-29.22,2.82,73.65792759,2.077153558
2014,Feb,4,ch01,sun,ambient,-0.45,-2.08,1.114944916,-30.37,1.98,87.9705401,1.741816694
2014,Feb,4,ch02,shade,elevated,-0.37,-1.49,5.252128236,-32.52,1.9,88.40075007,1.679614251
2014,Feb,4,ch02,sun,elevated,-0.24,-1.69,2.674112324,-29.17,2.73,101.2332045,2.763666483
2014,Feb,4,ch03,shade,ambient,-0.29,-0.89,4.395255337,-30.19,1.82,103.5673188,1.884925201
2014,Feb,4,ch03,sun,ambient,-0.46,-1.31,2.617788543,-28.1,2.86,89.50770761,2.559920438
2014,Feb,4,ch04,shade,elevated,-0.53,-1.47,3.379288926,-32.42,1.22,64.30868167,0.784565916
2014,Feb,4,ch04,sun,elevated,-0.53,-2.82,2.079766338,-29.62,2.08,191.0241657,3.973302647
2014,Feb,4,ch05,shade,ambient,-0.22,-2.12,3.222499337,-29.7,1.77,142.5762045,2.52359882
2014,Feb,4,ch05,sun,ambient,-0.25,-1.92,1.717929116,-28.98,2.59,99.31034483,2.572137931
2014,Feb,4,ch06,shade,elevated,-0.61,-1.47,1.799417781,-30.02,2.15,85.12363194,1.830158087
2014,Feb,4,ch06,sun,elevated,-0.66,-2.17,0.950053385,-27.6,3.53,84.14526129,2.970327724
2014,Feb,4,ch07,shade,ambient,-0.19,-0.92,3.017608857,-30,1.47,138.6623165,2.038336052
2014,Feb,4,ch07,sun,ambient,-0.24,-1.46,0.762631695,-28.32,2.15,106.5449011,2.290715373
2014,Feb,4,ch08,shade,elevated,-0.36,-0.89,3.715446719,-29.16,1.8,131.3955803,2.365120446
2014,Feb,4,ch08,sun,elevated,-0.46,-1.01,2.308552043,-27.61,2.63,84.31329044,2.217439538
2014,Feb,4,ch09,shade,ambient,-0.24,-1.69,2.459227868,-29.42,1.95,102.739726,2.003424658
2014,Feb,4,ch09,sun,ambient,-0.22,-1.26,1.223672986,-27.07,2.47,110.467222,2.728540384
2014,Feb,4,ch10,shade,elevated,-0.15,-2.09,2.388946079,-29.45,1.91,106.3829787,2.031914894
2014,Feb,4,ch10,sun,elevated,-0.17,-1.42,1.438649225,-28.05,2.68,89.5979021,2.401223776
2014,Feb,4,ch11,shade,ambient,-0.32,-1.49,1.545951563,-27.97,1.44,117.8524662,1.697075513
2014,Feb,4,ch11,sun,ambient,-0.31,-1.81,0.73541931,-29.11,2.06,151.552795,3.121987578
2014,Feb,4,ch12,shade,elevated,-0.16,-1.27,3.44406183,-30.08,1.53,116.0541586,1.775628627
2014,Feb,4,ch12,sun,elevated,-0.22,-1.34,1.308403142,-28.07,1.69,119.2472517,2.015278554
2014,Mar,5,ch02,shade,elevated,-0.18,-1.51,3.932693406,-31.22,1.73,73.3048259,1.268173488
2014,Mar,5,ch02,sun,elevated,-0.29,-2.41,1.774198594,-29.55,2.32,114.2098274,2.649667995
2014,Mar,5,ch05,shade,ambient,-0.13,-1.58,3.175823165,-30.58,1.7,128.8763592,2.190898107
2014,Mar,5,ch05,sun,ambient,-0.17,-1.91,1.20636682,-28.21,2.02,149.7206704,3.024357542
2014,Mar,5,ch07,shade,ambient,-0.14,-1.14,2.567899481,-29.97,1.43,142.6507765,2.039906103
2014,Mar,5,ch07,sun,ambient,-0.19,-2.15,0.834545596,-27.18,1.86,117.4715644,2.184971098
2014,Mar,5,ch09,shade,ambient,-0.34,-1.19,4.118843217,-29.18,2.5,97.79482263,2.444870566
2014,Mar,5,ch09,sun,ambient,-0.36,-1.09,2.433008552,-28.15,2.8,92.20284626,2.581679695
2014,Mar,5,ch10,shade,elevated,-0.11,-1.58,3.608641049,-31.15,1.53,106.685633,1.632290185
2014,Mar,5,ch10,sun,elevated,-0.25,-1.72,.,-28.71,2.55,100.3473562,2.558857584
2014,Mar,5,ch12,shade,elevated,-0.14,-0.85,2.883356133,-32.7,1.51,108.8646967,1.643856921
2014,Mar,5,ch12,shade,elevated,-0.14,-0.85,5.380702009,-28.26,1.49,154.5805865,2.303250739
2014,Apr,6,ch02,shade,elevated,-0.39,-1.28,4.032929079,-30.49,2.03,113.5646688,2.305362776
2014,Apr,6,ch02,sun,elevated,-0.61,-1.76,1.255439068,-29.54,1.77,116.927983,2.069625299
2014,Apr,6,ch05,shade,ambient,-0.24,-1.6,1.725254137,-30.42,1.45,129.1512915,1.872693727
2014,Apr,6,ch05,sun,ambient,-0.26,-1.59,0.817643436,-29.82,1.59,161.2209802,2.563413586
2014,Apr,6,ch07,shade,ambient,-0.16,-1.73,2.047471225,-29.66,1.38,174.9063002,2.413706943
2014,Apr,6,ch07,sun,ambient,-0.32,-2.16,0.509697333,-27.48,1.63,167.7148847,2.733752621
2014,Apr,6,ch09,shade,ambient,-0.74,-1.42,2.921236346,-29.43,1.67,99.46796206,1.661114966
2014,Apr,6,ch09,sun,ambient,-1.18,-1.99,2.319337146,-28.4,2.37,143.1441487,3.392516323
2014,Apr,6,ch10,shade,elevated,-0.31,-1.09,2.694128606,-28.91,1.64,133.3675301,2.187227494
2014,Apr,6,ch10,sun,elevated,-0.29,-2.12,1.412675952,-29.34,2.26,101.4084507,2.291830986
2014,Apr,6,ch12,shade,elevated,-0.37,-1.58,1.833631064,-32.06,1.25,110.6006466,1.382508082
2014,Apr,6,ch12,sun,elevated,-0.31,-1.75,1.090305767,-28.23,1.56,162.149641,2.529534399
