"chamber","T_treatment","StemDM","R_stem_nmol"
"C01","ambient",5035.909723,0.692014841735791
"C02","elevated",6506.1874515,0.765071866599129
"C03","ambient",4224.4567639,0.772701492382551
"C04","elevated",6465.7746459,0.432949731402212
"C05","ambient",5605.0782959,0.564746305961066
"C06","elevated",4263.9110879,0.654842161226011
"C07","ambient",7284.6556318,0.641800461862418
"C08","elevated",8539.3968922,0.666053662616888
"C09","ambient",4898.723378,0.740470758680665
"C10","elevated",4725.7922903,0.64909536858379
"C11","ambient",6550.7724089,0.686381875825026
"C12","elevated",9765.3064061,0.600765063072
